theta_a,theta_d,x,y
49,62,-49.51034001,-109.8976772
49,63,-51.04707106,-106.096187
49,64,-51.52571635,-103.5143603
49,65,-51.52402813,-101.4952064
49,66,-51.23440334,-99.81369303
49,67,-50.74858651,-98.35975915
49,68,-50.11855313,-97.06955726
49,69,-49.37700007,-95.90201545
49,70,-48.54601758,-94.82879552
49,71,-47.64132896,-93.82932445
49,72,-46.67458274,-92.88807622
49,73,-45.65468791,-91.99296957
49,74,-44.58863815,-91.1343673
49,75,-43.48204454,-90.30442178
49,76,-42.33949316,-89.49663024
49,77,-41.16479281,-88.70552305
49,78,-39.96115114,-87.92643902
49,79,-38.73130282,-87.15535991
49,80,-37.47760466,-86.38878583
49,81,-36.20210734,-85.6236398
49,82,-34.90661027,-84.85719352
49,83,-33.59270423,-84.08700875
49,84,-32.26180466,-83.31089036
49,85,-30.9151781,-82.52684832
49,86,-29.55396313,-81.73306655
49,87,-28.17918725,-80.9278771
49,88,-26.79178035,-80.10973848
49,89,-25.39258564,-79.27721738
49,90,-23.98236831,-78.42897294
49,91,-22.56182256,-77.56374315
49,92,-21.13157705,-76.68033299
49,93,-19.69219915,-75.77760381
49,94,-18.2441981,-74.85446389
49,95,-16.78802717,-73.90985974
49,96,-15.324085,-72.94276812
49,97,-13.8527161,-71.95218852
49,98,-12.37421056,-70.93713596
49,99,-10.88880304,-69.89663397
49,100,-9.396670931,-68.82970772
49,101,-7.897931729,-67.73537699
49,102,-6.39263955,-66.61264909
49,103,-4.880780675,-65.46051136
49,104,-3.362268043,-64.27792328
49,105,-1.836934521,-63.06380806
49,106,-0.304524785,-61.81704333
49,107,1.23531446,-60.53645096
49,108,2.783046202,-59.22078567
49,109,4.339257209,-57.86872209
49,110,5.904674944,-56.47884005
49,111,7.480187997,-55.04960755
49,112,9.06687082,-53.5793609
49,113,10.66601389,-52.06628138
49,114,12.27916068,-50.50836745
49,115,13.90815337,-48.90340138
49,116,15.5551898,-47.24890881
49,117,17.22289523,-45.54210901
49,118,18.91441346,-43.77985333
49,119,20.63352448,-41.95854756
49,120,22.38479781,-40.07405308
49,121,24.17379615,-38.12155875
49,122,26.0073502,-36.09541183
49,123,27.89393736,-33.98889056
49,124,29.84421601,-31.79389082
49,125,31.87180022,-29.50048259
49,126,33.9944203,-27.09626144
49,127,36.23573112,-24.56536307
49,128,38.62826879,-21.88689209
49,129,41.21858853,-19.03226156
49,130,44.07692863,-15.96031932
49,131,47.31746337,-12.60740792
49,132,51.14801186,-8.863644554
49,133,56.02824247,-4.4996463
49,134,63.55727997,1.230619165
49,214,60.27291355,101.5178313
49,215,54.09332593,98.56520106
49,216,49.67686923,96.53986061
49,217,46.0932965,94.99566897
49,218,43.00815877,93.76146613
49,219,40.25682385,92.7478683
49,220,37.74448688,91.90044225
49,221,35.41103736,91.18276724
49,222,33.21578439,90.56886374
49,223,31.12984515,90.03931792
49,224,29.13196987,89.57909955
49,225,27.20608148,89.1762426
49,226,25.33974262,88.82100239
49,227,23.52315674,88.50529266
49,228,21.74849303,88.22229581
49,229,20.00941597,87.96618479
49,230,18.30074885,87.73191938
49,231,16.61822767,87.51509377
49,232,14.95831772,87.31182023
49,233,13.31807438,87.1186388
49,234,11.69503613,86.93244621
49,235,10.08714091,86.75043902
49,236,8.492660319,86.5700677
49,237,6.910146986,86.38899907
49,238,5.338392302,86.2050852
49,239,3.776392085,86.0163375
49,240,2.223318524,85.82090479
49,241,0.67849711,85.61705469
49,242,-0.858612445,85.40315759
50,64,-44.26969362,-114.9495432
50,65,-46.53004327,-110.6083395
50,66,-47.29791883,-107.8449003
50,67,-47.47585173,-105.7184171
50,68,-47.31665023,-103.9575112
50,69,-46.93360001,-102.43742
50,70,-46.38875626,-101.0881563
50,71,-45.72033392,-99.86564614
50,72,-44.95377381,-98.73992465
50,73,-44.10698979,-97.68947187
50,74,-43.19314424,-96.69818089
50,75,-42.22223874,-95.75360014
50,76,-41.20208338,-94.84584962
50,77,-40.13891705,-93.96691931
50,78,-39.03782026,-93.11019655
50,79,-37.90299929,-92.270137
50,80,-36.73798703,-91.442029
50,81,-35.54578844,-90.62182075
50,82,-34.32898808,-89.80599084
50,83,-33.08983091,-88.99144956
50,84,-31.83028402,-88.17546219
50,85,-30.55208433,-87.35558877
50,86,-29.25677598,-86.52963592
50,87,-27.94573982,-85.69561796
50,88,-26.62021693,-84.85172507
50,89,-25.2813274,-83.99629697
50,90,-23.93008552,-83.1278009
50,91,-22.56741204,-82.24481301
50,92,-21.19414396,-81.3460024
50,93,-19.81104251,-80.43011738
50,94,-18.41879942,-79.49597339
